{Иван, минимальная зарплата 800, навык уровня 15}
{Петр, минимальная зарплата 1700, навык уровня 29}
{Михаил, минимальная зарплата 400, навык уровня 7}
{Светлана, минимальная зарплата 900, навык уровня 18}
{Евгений, минимальная зарплата 1100, навык уровня 22}
{Надежда, минимальная зарплата 2200, навык уровня 32}
{Ирина, минимальная зарплата 600, навык уровня 14}
{Максим, минимальная зарплата 1400, навык уровня 24}
{Анна, минимальная зарплата 1700, навык уровня 30}
{Матвей, минимальная зарплата 500, навык уровня 8}
{Ян, минимальная зарплата 200, навык уровня 3}
{Ника, минимальная зарплата 1300, навык уровня 22}
{Ольга, минимальная зарплата 800, навык уровня 16}
{Константин, минимальная зарплата 1900, навык уровня 28}
{Алиса, минимальная зарплата 300, навык уровня 5}
{Андрей, минимальная зарплата 1500, навык уровня 21}
{Павел, минимальная зарплата 300, навык уровня 5}
